//
//	Class:	-- none --
//	Set:	attributes
//	Prefix:	DEFMSG_
//

MSG(ANATOMY_DEX_1,						"very clumsy")
MSG(TRACKING_RESULT_2,					"%s is to the %s")
MSG(TRACKING_RESULT_3,					"%s is far to the %s")
MSG(TRACKING_RESULT_4,					"%s is very far to the %s")
MSG(TRACKING_RESULT_DISC,				" disconnected")
MSG(TRACKING_UNABLE,					"You cannot locate your target")
MSG(TRACKING_END,						"You have lost your quarry")
MSG(RUNE_NAME_MARKED,					"a recall rune for ")
MSG(RUNE_NAME_UNMARKED,					"unmarked ")
MSG(RUNE_RENAME_PROMPT,					"Please enter a description for this marked object:")
MSG(RUNE_RENAME_SUCCESS,				"The etching on the rune has been changed.")
MSG(KEY_TO,								"Key to: ")
MSG(STONE_FOR,							"Stone for the ")
MSG(HL_NO_CLIENT,						"Currently there are no clients online")
MSG(HL_ONE_CLIENT,						"One client is online:")
MSG(HL_MANY_CLIENTS,					"The number of clients online is")
MSG(SKILLTITLE_NEOPHYTE,				"Neophyte")
MSG(SKILLTITLE_NOVICE,					"Novice")
MSG(SKILLTITLE_APPRENTICE,				"Apprentice")
MSG(SKILLTITLE_JOURNEYMAN,				"Journeyman")
MSG(SKILLTITLE_EXPERT,					"Expert")
MSG(SKILLTITLE_ADEPT,					"Adept")
MSG(SKILLTITLE_MASTER,					"Master")
MSG(SKILLTITLE_GRANDMASTER,				"Grandmaster")
MSG(SKILLTITLE_ELDER,					"Elder")
MSG(SKILLTITLE_ELDER_BUSHIDO,			"Tatsujin")
MSG(SKILLTITLE_ELDER_NINJITSU,			"Shinobi")
MSG(SKILLTITLE_LEGENDARY,				"Legendary")
MSG(SKILLTITLE_LEGENDARY_BUSHIDO,		"Kengo")
MSG(SKILLTITLE_LEGENDARY_NINJITSU,		"Ka-ge")
MSG(TARGET_CANCEL_1,					"Targeting cancelled.")
MSG(TARGET_CANCEL_2,					"Previous targeting cancelled.")
MSG(WHERE_TO_SUMMON,					"Where would you like to summon the")
MSG(WHERE_TO_PLACE,						"Where would you like to place the")
MSG(USE_SPYGLASS_LAND,					"You see land to the")
MSG(USE_SPYGLASS_DARK,					"There isn't enough sun light to see land!")
MSG(USE_SPYGLASS_WEATHER,				"The weather is too rough to make out any land!")
MSG(USE_SPYGLASS_NO_LAND,				"You can't see any land.")
MSG(CONSOLE_NO_ADMIN,					"Sorry you don't have admin level access")
MSG(CONSOLE_WELCOME_2,					"Welcome to the Remote Admin Console")
MSG(CONSOLE_WELCOME_1,					"Welcome to")
MSG(CONSOLE_NOT_PRIV,					"This account does not exist or is not privileged to log in via telnet.")
MSG(MAP_IS_BLANK,						"This map is blank.")
MSG(GAINRADIUS_NOT_MET,					"This action was so easy that it will not improve your skill.")
MSG(DRINK_FULL,							"You are way too stuffed to drink this now.")
MSG(TITLE_OWNER,						"Owner ")
MSG(TITLE_ADMIN,						"Admin ")
MSG(TITLE_DEV,							"Dev ")
MSG(TITLE_GM,							"GM ")
MSG(TITLE_SEER,							"Seer ")
MSG(TITLE_COUNSEL,						"Counselor ")
MSG(TITLE_LADY,							"Lady ")
MSG(TITLE_LORD,							"Lord ")
MSG(TITLE_MURDERER,						"Murderer")
MSG(TITLE_CRIMINAL,						"Criminal")
MSG(TITLE_ARTICLE_MALE,					"The ")
MSG(TITLE_ARTICLE_FEMALE,				"The ")
MSG(NOTO_KARMA,							"karma")
MSG(NOTO_FAME,							"fame")
MSG(MAP_DIR_0,							"North")
MSG(MAP_DIR_1,							"North East")
MSG(MAP_DIR_2,							"East")
MSG(MAP_DIR_3,							"South East")
MSG(MAP_DIR_4,							"South")
MSG(MAP_DIR_5,							"South West")
MSG(MAP_DIR_6,							"West")
MSG(MAP_DIR_7,							"North West")
MSG(MAP_DIR_8,							"Here")
MSG(PEACEMAKING_IGNORE,					"is unaffected by your music")
MSG(PEACEMAKING_DISOBEY,				"disobeys your music")
MSG(ENTICEMENT_PLAYER,					"You cannot entice players this way.")
MSG(ENTICEMENT_BATTLE,					"is preoccupired with thoughts of the battle")
MSG(HERDING_PLAYER,						"seems being somehow annoyed by your action")
MSG(HEALING_YOURSELF,					"yourself")
MSG(PRONOUN_HE,							"he")
MSG(PRONOUN_SHE,						"she")
MSG(PRONOUN_IT,							"it")
MSG(POSSESSPRONOUN_HIS,					"his")
MSG(POSSESSPRONOUN_HER,					"her")
MSG(POSSESSPRONOUN_ITS,					"it's")
MSG(EQUIP_NOT_STRONG_ENOUGH,			"Not strong enough to equip")
MSG(EQUIP_CANNOT,						"You can't equip this.")
MSG(PET_HAPPY_UNAFFECTED,				"unaffected by hunger")
MSG(TRADETITLE_ARTICLE_FEMALE,			"the")
MSG(TRADETITLE_ARTICLE_MALE,			"the")
MSG(CANTMOVE_DEAD,						"You can't reach anything in your state.")
MSG(CANTMOVE_MULTI,						"It appears to be locked to the structure.")
MSG(CANTMOVE_CURSED,					"appears to be cursed.")
MSG(CROPS_NOT_RIPE,						"None of the crops are ripe enough.")
MSG(CROPS_NO_FRUIT,						"The plant yields nothing useful.")
MSG(UNLOCK_FAIL_DOOR,					"You failed to unlock the door.")
MSG(UNLOCK_FAIL_CONT,					"You failed to unlock the container.")
MSG(LOCK_PICK_CRIME,					"picking the locked")
MSG(UNLOCK_CANT_GENERAL,				"You cannot unlock that!")
MSG(UNLOCK_CANT_THERE,					"You cannot unlock that where it is!")
MSG(LOCK_HAS_KEY,						"You have the key for this.")
MSG(UNLOCK_DOOR_NEEDS_KEY,				"This door can only be unlocked with a key.")
MSG(LOCK_ALREADY_IS,					"It is already locked.")
MSG(LOCK_UNLOCKEABLE,					"It is not really a lockable type object.")
MSG(LOCK_MAY_NOT,						"You may not lock this item")
MSG(LOCK_CONT_OK,						"You lock the container.")
MSG(LOCK_CONT_NO_KEY,					"You don't have the key to this container.")
MSG(LOCK_DOOR_OK,						"You lock the door.")
MSG(LOCK_DOOR_NO_KEY,					"You don't have the key to this door.")
MSG(LOCK_HOLD_OK,						"You lock the hold.")
MSG(LOCK_HOLD_NO_KEY,					"You don't have the key to this hold.")
MSG(LOCK_SHIP_OK,						"You lock the ship.")
MSG(LOCK_CAN_NOT,						"You cannot lock that!")
MSG(SHIP_PILOT_CANTABOARD,				"You cannot pilot a ship unless you are aboard it!")
MSG(SHIP_PILOT_CANTANCHOR,				"You must raise the anchor to pilot the ship.")
MSG(SHIP_PILOT_CANTFLYING,				"You cannot pilot a ship while flying!")
MSG(SHIP_PILOT_ON,						"You are now piloting this vessel.")
MSG(SHIP_PILOT_OFF,						"You are no longer piloting this vessel.")
MSG(SHIP_SEEN_SHIP_SINGLE,				"You can see a %s to the %s. ")
MSG(SHIP_SEEN_SHIP_MANY,				"You see many ships, one is to the %s. ")
MSG(SHIP_SEEN_STH_DIR,					"You can see something floating in the water to the %s. ")
MSG(SHIP_SEEN_ITEM_DIR,					"You can see %s to the %s.")
MSG(SHIP_SEEN_ITEM_DIR_MANY,			"You can see many things, one is to the %s. ")
MSG(SHIP_SEEN_SPECIAL_DIR,				"You can see many things, one is %s to the %s. ")
MSG(SHIP_SEEN_CREAT_SINGLE,				"You see a creature to the %s")
MSG(SHIP_SEEN_CREAT_MANY,				"You can see many creatures, one is to the %s.")
MSG(LIGHTSRC_BURN_OUT,					"burn out")
MSG(SELECT_LINK_ITEM,					"Select the item to link.")
MSG(SELECT_NUDGE_AREA,					"Select area to nudge.")
MSG(SELECT_NUKE_AREA,					"Select area to Nuke")
MSG(SELECT_NUKE_CHAR_AREA,				"Select area to Nuke Chars")
MSG(SELECT_ITEM_REPAIR,					"What item do you want to repair?")
MSG(SELECT_ITEM_INFO,					"What would you like info on?")
MSG(SELECT_MULTI_POS,					"Where to place the extracted multi?")
MSG(UNEXTRACT_USAGE,					"Usage: UNEXTRACT filename.ext code")
MSG(EXTRACT_USAGE,						"Usage: EXTRACT filename.ext code")
MSG(SELECT_EXTRACT_AREA,				"Select area to Extract")
MSG(NO_BAD_SPAWNS,						"There are no found bad spawn points left.")
MSG(SELECT_MAGIC_TARGET,				"Select target...")
MSG(CANT_ADD_SPELLBOOK,					"Can't add this to the spellbook")
MSG(JUST_BEEN_POISONED,					"You have been poisoned!")
MSG(LOOT_CRIMINAL_ACT,					"Looting this corpse will be a criminal act!")
MSG(LOOT_RUMMAGE,						"*rummages through a corpse and takes an item*")
MSG(SELECT_POTION_TARGET,				"Where do you want to throw the potion?")
MSG(ITEM_IN_USE,						"The item is in use")
MSG(ITEMTITLE_CURSED,					"Cursed ")
MSG(ITEMTITLE_BLESSED,					"Blessed ")
MSG(ITEMTITLE_MAGIC,					"Magic ")
MSG(ITEMTITLE_GUILDSTONE_FOR,			"Guildstone for ")
MSG(ITEMTITLE_TOWN_OF,					"Town of ")
MSG(ITEMTITLE_MEMORY_OF,				"Memory of ")
MSG(ITEMTITLE_SPAWN,					"Spawn ")
MSG(ITEMTITLE_BLANK,					"Blank ")
MSG(ITEMTITLE_FADED,					"Faded ")
MSG(ITEMTITLE_CHARGES,					"charges")
MSG(CLOCK_HOUR_ZERO,					"midnight")
MSG(CLOCK_HOUR_ONE,						"one")
MSG(CLOCK_HOUR_TWO,						"two")
MSG(CLOCK_HOUR_THREE,					"three")
MSG(CLOCK_HOUR_FOUR,					"four")
MSG(CLOCK_HOUR_FIVE,					"five")
MSG(CLOCK_HOUR_SIX,						"six")
MSG(CLOCK_HOUR_SEVEN,					"seven")
MSG(CLOCK_HOUR_EIGHT,					"eight")
MSG(CLOCK_HOUR_NINE,					"nine")
MSG(CLOCK_HOUR_TEN,						"ten")
MSG(CLOCK_HOUR_ELEVEN,					"eleven")
MSG(CLOCK_HOUR_TWELVE,					"noon")
MSG(CLOCK_QUARTER_FIRST,				"")
MSG(CLOCK_QUARTER_SECOND,				"a quarter past")
MSG(CLOCK_QUARTER_THIRD,				"half past")
MSG(CLOCK_QUARTER_FOURTH,				"a quarter till")
MSG(CLOCK_13_TO_18,						"o'clock in the afternoon")
MSG(CLOCK_18_TO_21,						"o'clock in the evening")
MSG(CLOCK_21_TO_24,						"o'clock at night")
MSG(CLOCK_24_TO_12,						"o'clock in the morning")
MSG(CHARINFO_TAME,						" [tame]")
MSG(CHARINFO_BONDED,					" [bonded]")
MSG(CHARINFO_NPC,						" [npc]")
MSG(CHARINFO_INVUL,						" [invul]")
MSG(CHARINFO_STONE,						" [stone]")
MSG(CHARINFO_FROZEN,					" [frozen]")
MSG(CHARINFO_HIDDEN,					" [hidden]")
MSG(CHARINFO_HALLU,						" [hallu]")
MSG(CHARINFO_SPAWN,						" [spawn]")
MSG(CHARINFO_GUEST,						" [guest]")
MSG(CHARINFO_JAILED,					" [jailed]")
MSG(CHARINFO_LOGOUT,					" [logout]")
MSG(CHARINFO_CRIMINAL,					" [criminal]")
MSG(CHARINFO_SUMMONED,					" [summoned]")
MSG(BOOK_AUTHOR_UNKNOWN,				"unknown")
MSG(GUILD_ALREADY_MEMBER,				"You are already a memberof a guild. Resign first.")
MSG(TOOLTIP_TAG_NEWBIE,					"Newbie")
MSG(LOOTING_CRIME,						"looting")
MSG(PROVOKING_CRIME,					"provoking")
MSG(PETSLOTS_TRY_CONTROL,				"You have too many followers to control that creature.")
MSG(PETSLOTS_TRY_TAMING,				"You have too many followers to tame that creature.")
MSG(PETSLOTS_TRY_SUMMON,				"You have too many followers to summon that creature.")
MSG(PETSLOTS_TRY_TRANSFER,				"The designated new owner have too many followers to control that creature.")
MSG(TILLER_NOTYOURSHIP,					"This is not your ship!")
MSG(TILLER_TURB_WATER,					"Turbulent Waters Cap'n")
MSG(TILLER_STOPPED,						"Ar, we've stopped sir.")
MSG(TILLER_CANT_TURN,					"Ar, can't turn sir.")
MSG(TILLER_REPLY_1,						"Aye")
MSG(TILLER_REPLY_2,						"Aye Cap'n")
MSG(TILLER_REPLY_3,						"Aye aye sir.")
MSG(TILLER_CONFIRM,						"As you command <SEX Sir/Mam>")
MSG(TILLER_DENY,						"Can't do that <SEX Sir/Mam>")
MSG(TILLER_ANCHOR_IS_DOWN,				"Ar, the anchor is down <SEX sir/mam>!")
MSG(TILLER_ANCHOR_IS_ALL_UP,			"Ar, the anchor has not been dropped <SEX sir/mam>.")
MSG(TILLER_ANCHOR_IS_ALL_DOWN,			"Ar, the anchor was already dropped <SEX sir/mam>.")
MSG(ITEM_DMG_DESTROYED,					"is destroyed")
MSG(ITEM_DMG_DAMAGE1,					"You damage %s's %s")
MSG(ITEM_DMG_DAMAGE2,					"You damage the %s")
MSG(ITEM_DMG_DAMAGE3,					"Your %s is damaged and looks %s")
MSG(ITEM_DMG_DAMAGE4,					"Your %s may have been damaged")
MSG(SKILLACT_BREATHING,					"Breathing")
MSG(SKILLACT_FLEEING,					"Fleeing")
MSG(SKILLACT_FOLLOWING,					"Following")
MSG(SKILLACT_GOINGHOME,					"Going Home")
MSG(SKILLACT_GOINGTO,					"Going To")
MSG(SKILLACT_GUARDING,					"Guarding")
MSG(SKILLACT_IDLING,					"Idling")
MSG(SKILLACT_LOOKING,					"Looking")
MSG(SKILLACT_RIDDEN,					"Ridden")
MSG(SKILLACT_RUNNINGTO,					"Running To")
MSG(SKILLACT_SEARCHINGFOOD,				"Searching for Food")
MSG(SKILLACT_STAYING,					"Staying")
MSG(SKILLACT_TALKFOLLOW,				"TalkFollow")
MSG(SKILLACT_TALKING,					"Talking")
MSG(SKILLACT_THROWING,					"Throwing")
MSG(SKILLACT_TRAINING,					"Training")
MSG(SKILLACT_USING,						"Using")
MSG(SKILLACT_WANDERING,					"Wandering")
MSG(ITEMSTATUS_PERFECT,					"absolutely flawless")
MSG(ITEMSTATUS_FULL,					"in full repair")
MSG(ITEMSTATUS_SCRATCHED,				"a bit worn")
MSG(ITEMSTATUS_WELLWORN,				"well worn")
MSG(ITEMSTATUS_BADLY,					"badly damaged")
MSG(ITEMSTATUS_FALL_APART,				"about to fall apart")
MSG(WEB_BROWSER_START,					"@035 Please wait for your web browser to start...")
MSG(WEB_NOEFFECT,						"You have no effect on the web")
MSG(WEB_DESTROY,						"You destroy the web")
MSG(WEB_WEAKEN,							"You weaken the web")
MSG(NUKED_ITEMS,						"Items Nuked!")
MSG(NUKED_CHARS,						"Chars Nuked!")
MSG(TILED_ITEMS,						"Items Created!")
MSG(NUDGED_OBJECTS,						"Objects Nudged!")
MSG(TILE_SAME_POINT,					"Thats the same point")

#undef MSG
